term,category,type,meaning,usage_context,emotion,tone,pronunciation,intensity,formality,example,variants
uwu,Cutesy,emoticon,"Cute/pleased/soft emotion, happy face","Expressing happiness, affection, or cuteness","happy, affectionate, soft","high-pitched, sweet, gentle",oo-woo,medium,very casual,UwU I'm so happy to see you!,"UwU, OwO, >w<"
owo,Cutesy,emoticon,"Surprised-cute face, playful shock",Expressing surprise or excitement in a cute way,"surprised, excited, playful","slightly higher pitch, energetic",oh-woh,medium,very casual,OwO what's this?,"OwO, 0w0, ◠w◠"
nya,Cutesy,vocalization,"Catlike playful sound, meow","Acting cute or catlike, playful teasing","playful, cute, mischievous","high-pitched, cute, catlike",n-yah,low-medium,very casual,Nya~ I'm feeling playful today!,"nyaa, nyaaa, meow, mew"
meow,Cutesy,vocalization,"Cat sound, being cute and catlike","Acting cute, playful, wanting attention","playful, cute, attention-seeking","soft, cute, varying pitch",mee-ow,low-medium,very casual,Meow~ pay attention to me!,"meoww, mew, mrow"
meep,Cutesy,vocalization,"Small surprised squeak, timid reaction","Being startled, shy, or timidly responding","surprised, shy, timid","very high-pitched, tiny, squeaky",meep,low,very casual,Meep! You scared me!,"eep, meeep"
rawr,Cutesy,vocalization,"Playful affectionate growl, dinosaur sound",Being playfully aggressive or affectionate,"playful, affectionate, energetic","growly but cute, playful",rawr,medium,very casual,Rawr means I love you in dinosaur!,"rawrr, rawr XD"
nyaaa,Cutesy,vocalization,"Extended cute meow, extra cute pitch","Being extra cute, seeking affection","very cute, needy, affectionate","sustained high pitch, very cute",n-yaaaah,medium-high,very casual,Nyaaa~ I missed you so much!,"nyaaaaa, nyah~"
mmmph,Cutesy,vocalization,"Pouty muffled sound, cute frustration","Being pouty, frustrated, or playfully annoyed","pouty, frustrated, cute-annoyed","muffled, whiny, cute",mmm-ff,low-medium,very casual,Mmmph! You're teasing me again!,"hmph, mmph, mmmm"
heehee,Cutesy,vocalization,"Girlish giggle, cute laugh","Laughing cutely, being playful","happy, giggly, playful","high-pitched giggle, breathy",hee-hee,low-medium,casual,"Heehee, you're so funny!","hehe, hehehe, teehee"
ehe,Cutesy,vocalization,"Embarrassed/giggly chuckle, nervous cute laugh","Being embarrassed, caught doing something, nervous","embarrassed, shy, nervous",soft, nervous giggle,eh-heh,low,casual,Ehe... I may have eaten all the cookies...,"ehehe, ehe~"
