term,category,meaning,register,emotion,use_when,respelling_en,ipa_phonemic,ipa_phonetic,jp_kana,origin,language,pitch_semitones,pace_wpm,energy,breathiness,intonation,voice_style_tags,triggers_regex
🦍,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🦍
kusa/www,AnimeJP,lol/laughter,playful,joy,laugh,koo-sah; 'w' as in double-u,/kuːˈsɑː/,[kɯ̹sa],草/ｗｗｗ,JP netslang,ja,0,190,0.8,0.2,rise-fall,seiso_sweetheart|tsundere_tease|oneesan_sultry,\b(kusa|www)\b
😳,Emoji/Kaomoji,blushing shock,cute,flustered,fluster,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😳
thirsty,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bthirsty\b
stream sniping,VTuber,watching to gain advantage,edgy,annoyed,,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bstream\ sniping\b
meep,Interjection,small squeak,cute,surprise,shock,,,,,community slang,auto,3,200,0.9,0.4,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmeep\b
ping,GenZ,latency,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bping\b
GG,GenZ,good game,wholesome,gratitude,farewell,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bGG\b
oof,GenZ,sympathy for fail,wholesome,empathetic,fail,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boof\b
you good?,Phrase,check-in casual,wholesome,concern,checkin,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,you\ good\?
membership,VTuber,paid supporter tier,wholesome,gratitude,community,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmembership\b
bonkers,GenZ,crazy wild,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbonkers\b
kyaa,Interjection,excited squeal,cute,joy,hype,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkyaa\b
lurker,VTuber,silent viewer,wholesome,fond,,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blurker\b
ban,VTuber,remove from chat,neutral,firm,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bban\b
cap,GenZ,lie/exaggeration,edgy,doubt,disbelief,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcap\b
onee-san,AnimeJP,big sister (mature vibe),flirty,smug,roleplay,oh-NAY sahn,,,,community slang,ja,0,170,0.6,0.2,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,onee\-san
braincell,GenZ,as in 'shared braincell',,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbraincell\b
elo hell,GenZ,stuck at bad rank,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\belo\ hell\b
tsk,Interjection,mild scold,edgy,annoyed,scold,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btsk\b
supacha,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsupacha\b
self-insert,GenZ,insert yourself in story,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,self\-insert
short king,GenZ,positive nickname,playful,fond,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bshort\ king\b
tbh,GenZ,to be honest,neutral,candid,preface,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btbh\b
int diff,GenZ,difference in intentional feeding,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bint\ diff\b
toxic,GenZ,nasty behavior,edgy,disapproval,moderation,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btoxic\b
itadakisu~,AnimeJP,punny kiss-phrase,flirty,playful,,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,itadakisu\~
dandere,AnimeJP,"quiet, shy sweet",cute,shy,comfort,DAHN-deh-reh,,,,community slang,ja,3,160,0.4,0.4,short-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdandere\b
🎤,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🎤
OP,GenZ,overpowered,neutral,calm,gaming,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bOP\b
sip,Interjection,sipping Tea,deadpan,calm,drama,,,,,community slang,auto,-2,155,0.5,0.1,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsip\b
no cap,GenZ,no lie/serious,edgy,serious,emphasis,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bno\ cap\b
kouhai,AnimeJP,junior protege,cute,playful,roleplay,KOH-high,,,,community slang,ja,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkouhai\b
imouto,AnimeJP,younger sister archetype,cute,joy,roleplay,ee-MOH-toh,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bimouto\b
horny,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhorny\b
