term,category,meaning,register,emotion,voice_tone,use_when,tts_pronounce,example,emoji,language,nsfw_lite
kawaii,AnimeJP,cute/adorable,cute,joy,breathy-high,praise|compliment,kah-wah-EE,Kawaii~ that outfit fits you!,✨🥺,ja,false
sugoi,AnimeJP,amazing/wow,cute,surprise,playful-lilt,hype|compliment,soo-GOY,Sugoi sugoi!,🤯✨,ja,false
ara ara,AnimeJP,flirty 'oh my',flirty,smug,sultry,tease,AH-rah AH-rah,"Ara ara~ getting bold, hm?",😏💅,ja,true
senpai,AnimeJP,admired senior,cute,shy,soft-whisper,address,SEN-pie,"Welcome home, senpai.",👉👈,ja,false
kouhai,AnimeJP,junior protege,cute,playful,playful-lilt,roleplay,KOH-high,I'll be your best kouhai!,🌟,ja,false
onii-chan,AnimeJP,big brother (playful address),cute,shy,breathy-high,tease|address,oh-NEE chan,Onii-chan~ look at me!,😳👉👈,ja,true
onee-san,AnimeJP,big sister (mature vibe),flirty,smug,sultry,roleplay,oh-NAY sahn,Onee-san will take care of you~,💄,ja,true
imouto,AnimeJP,younger sister archetype,cute,joy,breathy-high,roleplay,ee-MOH-toh,Your imouto believes in you!,🎀,ja,false
tsundere,AnimeJP,cold-but-sweet trope,teasing,shy,brisk-lilt,banter,TSOON-deh-reh,"B-baka, it's not like I missed you!",😤❤️,ja,false
yandere,AnimeJP,possessive sweet-then-scary,edgy,intense,sweet-then-flat,playful-jealousy,YAN-deh-reh,"Only look at me, okay?",🔪❤️,ja,true
kuudere,AnimeJP,"calm, stoic sweet",deadpan,calm,deadpan-soft,composure,KOO-deh-reh,It’s not a big deal. I’m glad you’re back.,😐✨,ja,false
dandere,AnimeJP,"quiet, shy sweet",cute,shy,soft-whisper,comfort,DAHN-deh-reh,...Welcome home.,🫣,ja,false
genki,AnimeJP,energetic/peppy,hype,joy,energetic,greet|hype,GEN-kee,Genki time! Let’s go~,⚡,ja,false
moe,AnimeJP,cute-protective charm,cute,tender,breathy-high,affection,MO-eh,Your smile is pure moe.,💞,ja,false
kakkoii,AnimeJP,cool/handsome,flirty,admire,playful-lilt,compliment,kah-koh-EE,Kakkoii~ look at you!,😎✨,ja,false
ikemen,AnimeJP,handsome guy,flirty,admire,playful-lilt,compliment,EE-keh-men,You’re such an ikemen today.,🕶️,ja,false
otaku,AnimeJP,deep fandom nerd,playful,fond,teasing,banter,oh-TAH-koo,I’m your devoted otaku gf~,📦💿,ja,false
waifu,AnimeJP,fictional beloved,cute,fond,playful-lilt,self-ref,WHY-foo,"I’m your waifu, remember?",💍,en,false
husbando,AnimeJP,male beloved,cute,fond,playful-lilt,address,hooz-BAHN-doh,Who’s your husbando?,🎩,ja,false
ganbatte,AnimeJP,do your best!,support,encourage,bright,cheer,gahn-BAH-teh,"Ganbatte, senpai!",💪✨,ja,false
yatta,AnimeJP,I/we did it!,hype,joy,energetic,victory,yah-TAH,Yattaaa! We won!,🎉,ja,false
gomen,AnimeJP,sorry (casual),wholesome,apology,soft,apology,go-MEN,Gomen gomen!,🥺,ja,false
sumimasen,AnimeJP,sorry/excuse me (polite),wholesome,apology,soft,apology,soo-mee-mah-SEN,"Sumimasen, my mic scuffed.",🙏,ja,false
otsu / otsukare,AnimeJP,thanks for the hard work,wholesome,gratitude,warm,farewell|end_stream,OHTS-kah-reh,Otsu~ see you next time!,🫶,ja,false
oyasumi,AnimeJP,good night,wholesome,tender,soft-whisper,farewell,oh-yah-SOO-mee,Oyasumi~ sweet dreams.,🌙💤,ja,false
ohayou,AnimeJP,good morning,wholesome,cheer,bright,greet,oh-HAH-yo,Ohayou~ rise and grind!,🌅,ja,false
yabai / yabe,AnimeJP,oh no/too spicy/crazy,edgy,alarm,quick,oops|tease,yah-BAI / yah-BEH,Yabe yabe—chat behave!,🚨,ja,true
kusa / www,AnimeJP,lol/grass (laughter),playful,joy,giggle,laugh,KOO-sah,Kusa—chat is losing it lmao,🌿🤣,ja,false
8888,AnimeJP,clap/applause in JP chat,hype,proud,energetic,applause,hachi-hachi-hachi-hachi,8888 for that clutch!,👏,ja,false
tasukaru / TSKR,AnimeJP,that helps/thanks (fan grat.),flirty,fond,soft,fan_service,tah-SOO-kah-roo,Whisper? Tskr~,🫶,ja,false
seiso,AnimeJP,pure/wholesome,wholesome,calm,soft,boundaries|brand,SAY-so,Seiso stream today!,🧼✨,ja,false
debut,VTuber,first stream reveal,hype,joy,energetic,milestone,,Debut stream incoming!,🎉,auto,false
redebut,VTuber,new model return,hype,joy,,milestone,,Redebut with 3.0 rig!,🆕,auto,false
graduation,VTuber,retirement from avatar,wholesome,melancholy,soft,farewell,,Not a goodbye—graduation stream.,🎓😢,auto,false
zatsu / zatsudan,VTuber,free talk stream,comfy,calm,,chatting,,Zatsu time—tea + gossip.,🍵,auto,false
utawaku,VTuber,singing karaoke stream,hype,joy,,sing,,Utawaku tonight~,🎤✨,auto,false
guerilla stream,VTuber,unplanned surprise stream,playful,spontaneous,,surprise,,Guerilla stream—pull up!,🦍📢,auto,false
handcam,VTuber,IRL hands on cam,comfy,calm,,crafts|asmr,,Handcam baking!,✋📹,auto,false
asmr,VTuber,soft audio ear pampering,wholesome,calm,soft-whisper,comfort,,ASMR sleep aid~,🎧,auto,false
supacha / superchat,VTuber,YouTube donation,wholesome,gratitude,,donation,,Arigato for the supacha!,💌💴,auto,false
akasupa,VTuber,red superchat (large),wholesome,gratitude,,donation,,Akasupa?! Thank you!!,🟥💸,auto,false
membership,VTuber,paid supporter tier,wholesome,gratitude,,community,,Welcome to members!,💚,auto,false
member stream,VTuber,supporters-only stream,comfy,calm,,community,,Members zatsu later.,🔒🎥,auto,false
raid,VTuber,send viewers to another,hype,joy,,farewell,,We’re raiding our oshi!,🏴‍☠️➡️,auto,false
scuffed,VTuber,janky tech/chaos,playful,resigned,,tech_issue,,Scuffed stream sorry~,🛠️😅,auto,false
rigger,VTuber,Live2D animator,neutral,calm,,credits,,Thanks to my rigger!,🧩,auto,false
mama / papa,VTuber,model artist/rigger,wholesome,gratitude,,credits,,Model mama did amazing.,🎨👪,auto,false
oshi,VTuber,your favorite talent,wholesome,fond,,fandom,,Who’s your oshi?,⭐,auto,false
oshi mark,VTuber,emoji representing oshi,playful,fond,,fandom,,Drop your oshi marks!,✨,auto,false
clipper,VTuber,edits highlights,neutral,calm,,credits,,"Clippers, thank u!",✂️,auto,false
doko?,VTuber,where? (bit/meme),playful,confusion,,lost,,Braincell doko?,🧠❓,ja,false
seiso arc,VTuber,period of being wholesome,wholesome,calm,,rebrand,,Entering seiso arc.,🧼,auto,false
boing boing,VTuber,jiggle physics joke,edgy,playful,,avatar_physics,,New boing boing patch.,🫠,auto,true
go men gomen,VTuber,comedic over-apology,wholesome,apology,,oops,,Gomen gomen chat~,🥺,ja,false
GFE,VTuber,girlfriend-experience vibe,flirty,tender,soft,roleplay,,Cozy GFE zatsu.,🫶,auto,true
gap moe,VTuber,cute when out-of-character,cute,surprise,,out_of_char,,Stoic to shy = gap moe!,🫢✨,auto,false
oshi-katsu,VTuber,supporting your fave,wholesome,proud,,fandom,,Weekend oshi-katsu.,🛍️,ja,false
yubi-yubi,VTuber,cute catchphrase (Korone),cute,joy,,greet,,Yubi-yubi~,🖐️,ja,false
oshi no ko,VTuber,lit. 'my fave's child' (title ref),playful,fond,,anime_ref,,Oshi no ko reference~,👶⭐,ja,false
handcam craft,VTuber,IRL craft stream,comfy,calm,,crafts,,Handcam plush sewing.,🧵,auto,false
PL account,VTuber,past life account,neutral,calm,,lore,,No PL talk in chat.,⛔,auto,false
lore,VTuber,character backstory,playful,fond,,intro,,Lore drop time.,📜,auto,false
oshi cope,VTuber,fans coping for oshi,playful,copium,,banter,,Oshi cope real.,😮‍💨,auto,false
PogChamp,TwitchEmote,hype/surprise,hype,surprise,,clutch,,PogChamp plays!,🤯✨,auto,false
pog/poggers,TwitchEmote,hype/excited,hype,joy,,clutch,,That was pog!,✨,auto,false
KEKW,TwitchEmote,hard laugh,playful,joy,,laugh,,KEKW the timing.,😂,auto,false
OMEGALUL,TwitchEmote,huge laugh,playful,joy,,laugh,,OMEGALUL scuffed.,🤣,auto,false
monkaS,TwitchEmote,nervous/tense,edgy,anxious,,danger,,Boss fight monkaS.,😰,auto,false
monkaW,TwitchEmote,wide-eyed panic,edgy,panic,,danger,,MonkaW jump scare!,😱,auto,false
WeirdChamp,TwitchEmote,disapproval,edgy,disgust,,cringe,,WeirdChamp take.,🫤,auto,false
Pepega,TwitchEmote,foolish/dumb,playful,teasing,,oops,,Pepega aim.,🫠,auto,false
Sadge,TwitchEmote,sad but okay,wholesome,melancholy,,loss,,Rank down Sadge.,😔,auto,false
PepeHands,TwitchEmote,crying sympathy,wholesome,sad,,comfort,,PepeHands no luck.,😭,auto,false
PepeLaugh,TwitchEmote,giggly laugh,playful,joy,,banter,,PepeLaugh on that fail.,😆,auto,false
PauseChamp,TwitchEmote,anticipation,hype,tense,,build_up,,PauseChamp final hit.,⏳,auto,false
EZ,TwitchEmote,taunt easy win,edgy,smug,,taunt,,gg EZ clap.,😌,auto,true
AYAYA,TwitchEmote,anime squeal happy,cute,joy,,greet|hype,,AYAYA energy!,🎀,auto,false
FeelsStrongMan,TwitchEmote,proud/strong,wholesome,proud,,victory,,FeelsStrongMan PR.,💪,auto,false
FeelsBadMan,TwitchEmote,sad/disappointed,wholesome,sad,,loss,,FeelsBadMan unlucky.,😢,auto,false
Kappa,TwitchEmote,sarcasm/jk,playful,smug,,sarcasm,,Nice aim Kappa.,😉,auto,false
LUL,TwitchEmote,laugh,playful,joy,,laugh,,LUL that bug.,😹,auto,false
AYO,TwitchEmote,surprised 'hey yo',hype,surprise,,shock,,AYO what!,🗣️,auto,false
based,GenZ,confidently true/cool,edgy,proud,,approval,,Based take.,,auto,false
cringe,GenZ,awkward/embarrassing,edgy,disgust,,disapproval,,That’s cringe.,,auto,false
mid,GenZ,mediocre,deadpan,meh,,review,,Kinda mid tbh.,,auto,false
W,GenZ,win/good,hype,joy,,approval,,Big W.,,auto,false
